Year,Population,Yearly % change,Yearly change,Fertility rate
2020,31072940,2.15 %,655084,3.89
2019,30417856,2.19 %,650754,4.12
2018,29767102,2.22 %,645637,4.12
2017,29121465,2.25 %,639520,4.12
2016,28481945,2.27 %,632740,4.12
2015,27849205,2.36 %,613917,4.18
2010,24779619,2.58 %,592995,4.37
2005,21814642,2.50 %,507157,4.64
2000,19278856,2.53 %,452960,5.02
1995,17014057,2.86 %,448156,5.34
1990,14773277,2.94 %,397933,5.88
1985,12783613,2.95 %,345499,6.35
1980,11056116,2.06 %,214034,6.69
1975,9985946,2.71 %,250090,6.90
1970,8735495,2.45 %,199204,6.95
1965,7739473,3.13 %,220849,6.84
1960,6635230,2.97 %,180927,6.64
1955,5730594,2.62 %,138890,6.44
