Year,World_population,Yearly_change,Net_change
2020,7794798739,1.05 %,81330639
2019,7713468100,1.08 %,82377060
2018,7631091040,1.10 %,83232115
2017,7547858925,1.12 %,83836876
2016,7464022049,1.14 %,84224910
2015,7379797139,1.16 %,84506374
2014,7295290765,1.17 %,84708789
2013,7210581976,1.19 %,84753917
2012,7125828059,1.20 %,84633758
2011,7041194301,1.21 %,84370698
2010,6956823603,1.22 %,84056510
2009,6872767093,1.23 %,83678407
2008,6789088686,1.24 %,83142076
2007,6705946610,1.24 %,82428777
2006,6623517833,1.25 %,81610806
2005,6541907027,1.25 %,80747638
2004,6461159389,1.25 %,79974275
2003,6381185114,1.26 %,79411926
2002,6301773188,1.27 %,79146582
2001,6222626606,1.29 %,79132783
2000,6143493823,1.31 %,79254768
1999,6064239055,1.33 %,79445113
1998,5984793942,1.35 %,79748154
1997,5905045788,1.38 %,80153837
1996,5824891951,1.40 %,80678972
1995,5744212979,1.43 %,81062552
1994,5663150427,1.46 %,81552881
1993,5581597546,1.50 %,82677737
1992,5498919809,1.56 %,84630365
1991,5414289444,1.63 %,87058383
1990,5327231061,1.71 %,89789503
1989,5237441558,1.79 %,92015550
1988,5145426008,1.84 %,92903861
1987,5052522147,1.85 %,91954235
1986,4960567912,1.84 %,89646172
1985,4870921740,1.82 %,86910119
1984,4784011621,1.80 %,84442317
1983,4699569304,1.78 %,82182762
1982,4617386542,1.77 %,80389780
1981,4536996762,1.77 %,78993248
1980,4458003514,1.77 %,77497414
1979,4380506100,1.76 %,75972599
1978,4304533501,1.77 %,75027441
1977,4229506060,1.80 %,74839196
1976,4154666864,1.84 %,75186258
1975,4079480606,1.89 %,75686434
1974,4003794172,1.94 %,76013934
1973,3927780238,1.98 %,76129993
1972,3851650245,2.01 %,75890628
1971,3775759617,2.04 %,75322571
1970,3700437046,2.06 %,74756419
1969,3625680627,2.09 %,74081500
1968,3551599127,2.09 %,72829165
1967,3478769962,2.08 %,70847332
1966,3407922630,2.05 %,68339033
1965,3339583597,2.00 %,65605259
1964,3273978338,1.96 %,62977329
1963,3211001009,1.92 %,60580214
1962,3150420795,1.89 %,58577288
1961,3091843507,1.87 %,56893759
1960,3034949748,1.86 %,55373563
1959,2979576185,1.84 %,53889480
1958,2925686705,1.82 %,52380615
1957,2873306090,1.80 %,50862808
1956,2822443282,1.78 %,49423346
1955,2773019936,1.77 %,48173195
1954,2724846741,1.76 %,47237781
1953,2677608960,1.78 %,46747398
1952,2630861562,1.81 %,46827301
1951,2584034261,1.88 %,47603112
1927,2000000000, , 
1900,1600000000, , 
1850,1200000000, , 
1804,1000000000, , 
1760,770000000, , 
1700,610000000, , 
1600,500000000, , 
1500,450000000, , 
1400,350000000, , 
1200,360000000, , 
1100,320000000, , 
1000,275000000, , 
900,240000000, , 
800,220000000, , 
700,210000000, , 
600,200000000, , 
200,190000000, , 
-200,150000000, , 
-500,100000000, , 
-1000,50000000, , 
-2000,27000000, , 
-3000,14000000, , 
-4000,7000000, , 
-5000,5000000, , 
